Athlete_ID,Name,Sex
128631,Wang Ying,F
128637,Wang Yu,M
128642,Wang Yuwei,F
128644,Wang Zhelin,M
128645,Wang Zhen,M
128646,Wang Zhen,M
128647,Wang Zhendong,M
128648,Wang Zheng,F
128653,Wang Zhiwei,M
128654,Wang Zhizhi,M
129288,Wei Meng,F
129289,Wei Ning,F
129294,Wei Qiuyue,F
129295,Wei Wei,F
129297,Wei Yongli,F
131763,Wu Ashun,M
131781,Wu Di,F
131786,Wu Haiyan,F
131792,Wu Jiaxin,F
131794,Wu Jingbiao,M
131795,Wu Jingyu,F
131805,Wu Minxia,F
131809,Wu Peng,M
131810,Wu Penggen,M
131813,Wu Qiong,F
131819,Wu Shugen,F
131820,Wu Shuijiao,F
131837,Wu Yanan,F
131840,Wu Yiwen,F
131845,Wu Yuhang,M
132003,Xiang Yanmei,F
132005,Xiao Di,M
132021,Xie Limei,F
132022,Xie Wenjun,M
132027,Xie Zhenye,M
132033,Xin Xin,F
132041,Xing Yu,M
132043,Xiong Dunhan,F
132051,Xu Anqi,F
132052,Xu Chao,M
132053,Xu Chen,M
132058,Xu Dongxiang,F
132065,Xu Jiayu,M
132068,Xu Jing,F
132072,Xu Lijia,F
132073,Xu Lili,F
132075,Xu Linyin,M
132078,Xu Rui,F
132087,Xu Xiaolong,M
132089,Xu Xiaoxu,F
132090,Xu Xin,M
132098,Xu Yifan,F
132103,Xu Yunli,F
132104,Xu Zangjun,M
132111,Xue Changrui,M
132112,Xue Chen,F
132415,Yan Ni,F
132423,Yan Zibei,M
132466,Yang Bin,M
132485,Yang Fangxu,F
132496,Yang Haoran,M
132517,Yang Jun,F
132518,Yang Junjing,F
132519,Yang Junxia,F
132522,Yang Li,F
132558,Yang Xiuli,F
132564,Yang Yansheng,M
132566,Yang Ye,F
132575,Yang Zhe,M
132577,Yang Zhixian,M
132622,Yao Jie,M
132625,Yao Jinnan,F
132628,Yao Ping,F
132632,Yao Yige,F
132744,Ye Shiwen,F
132758,Katai Yeerlanbieke,M
132953,Yi Jianlian,M
132955,Yi Li,M
132957,Yi Siling,F
132984,Yin Anna,F
132985,Yin Chengxin,F
132989,Yin Junhua,F
133174,You Hao,M
133294,Yu Chenggang,M
133299,Yu Dan,F
133306,Yu Fengkai,M
133313,Yu Hexin,M
